trade_date,close,open,high,low,vol,pct_chg
20070104,2067.09,2073.25,2139.49,2054.24,106720.0,0.0128
20070105,2072.88,2051.15,2083.40,2030.76,92740.0,0.0028000000000000004
20070108,2131.56,2072.01,2131.74,2071.72,84770.0,0.028300000000000002
20070109,2200.09,2137.49,2201.36,2128.06,81580.0,0.0322
20070110,2255.97,2210.76,2255.97,2194.77,84910.0,0.0254
20070111,2231.63,2257.01,2289.95,2224.37,86280.0,-0.0108
20070112,2173.75,2215.86,2249.54,2159.78,76530.0,-0.0259
20070115,2287.34,2170.94,2287.68,2170.94,66400.0,0.052300000000000006
20070116,2353.87,2310.96,2354.43,2297.24,76360.0,0.0291
20070117,2308.93,2360.41,2393.22,2266.34,89020.0,-0.0191
20070118,2317.09,2292.17,2325.53,2240.21,78650.0,0.0034999999999999996
20070119,2396.09,2320.87,2396.09,2320.87,83330.0,0.0341
20070122,2491.31,2424.82,2491.71,2424.82,93890.0,0.0397
20070123,2508.13,2508.26,2516.59,2415.11,102340.0,0.0068000000000000005
20070124,2536.43,2508.52,2556.10,2489.93,84430.0,0.0113
20070125,2452.83,2512.46,2529.43,2449.05,81060.0,-0.033
20070126,2512.92,2415.75,2524.24,2356.98,78650.0,0.0245
20070129,2576.92,2529.94,2582.41,2521.50,85450.0,0.0255
20070130,2551.88,2586.52,2599.45,2531.78,78210.0,-0.0097
20070131,2385.34,2544.30,2548.18,2367.67,80910.0,-0.0653
20070201,2395.17,2350.60,2410.42,2310.57,65080.0,0.0040999999999999995
20070202,2298.00,2397.06,2403.62,2293.28,59380.0,-0.0406
20070205,2271.80,2282.77,2304.32,2247.93,47590.0,-0.011399999999999999
20070206,2316.04,2271.37,2316.70,2198.90,67010.0,0.0195
20070207,2369.79,2330.43,2390.87,2330.43,70110.0,0.0232
20070208,2410.60,2376.63,2415.96,2354.70,62660.0,0.0172
20070209,2397.24,2412.64,2417.64,2376.02,55520.0,-0.0055000000000000005
20070212,2485.39,2397.85,2485.76,2396.79,54990.0,0.0368
20070213,2522.63,2498.34,2526.23,2489.66,51530.0,0.015
20070214,2588.35,2527.56,2594.66,2520.53,62780.0,0.026099999999999998
20070215,2668.63,2607.63,2669.18,2607.63,71630.0,0.031
20070216,2676.74,2692.67,2717.57,2660.49,75910.0,0.003
20070226,2707.68,2679.26,2710.30,2641.12,74530.0,0.0116
20070227,2457.49,2717.81,2719.52,2454.92,107740.0,-0.0924
20070228,2544.57,2413.42,2554.23,2413.33,82820.0,0.0354
20070301,2473.54,2550.26,2550.33,2439.50,82160.0,-0.0279
20070302,2508.73,2468.67,2523.86,2455.82,57950.0,0.014199999999999999
20070305,2475.61,2503.82,2541.82,2409.72,68520.0,-0.0132
20070306,2520.29,2467.74,2539.45,2452.14,52630.0,0.018000000000000002
20070307,2589.44,2532.97,2594.46,2532.15,59720.0,0.0274
20070308,2627.63,2597.72,2628.45,2565.11,55390.0,0.0147
